Path,image_filename,caption,ctr_label,platform,sentiment_score,contains_cta,caption_length,filename,image_path,brightness,contrast,face_detected
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_001.jpg,Brighten your smile in just one visit!,High,facebook,0.69,False,38,ad_001.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_001.jpg,117.10246399176955,76.30543021515885,0.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_002.jpg,"Professional whitening for a red-carpet smile.""",High,Instagram,0.3612,False,47,ad_002.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_002.jpg,167.7455349794239,46.983209948082894,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_003.jpg,"No more hidingflash those pearly whites!""",High,facebook,-0.3595,False,42,ad_003.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_003.jpg,130.88390860768175,93.49635741228958,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_004.jpg,"Straighten your teeth discreetly with clear aligners.""",High,Instagram,0.3818,False,54,ad_004.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_004.jpg,233.47723593964332,43.21114654124241,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_005.jpg,"Dental care so smooth, youll forget youre at the clinic.""",High,Instagram,0.2585,True,59,ad_005.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_005.jpg,,,
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_006.jpg,"Say goodbye to sensitivityhello to ice cream!""",Medium,Instagram,0.0,False,47,ad_006.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_006.jpg,179.85615569272977,46.97937596628689,0.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_007.jpg,"Your dream smile is only an appointment away.""",Medium,Instagram,0.5423,False,46,ad_007.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_007.jpg,168.7090920781893,83.03520932883791,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_008.jpg,"We turn toothaches into tooth wows.""",Medium,facebook,0.4588,False,36,ad_008.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_008.jpg,170.7373611111111,63.22551325351462,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_009.jpg,"Because confidence starts with a healthy smile.""",Medium,facebook,0.8176,False,48,ad_009.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_009.jpg,202.99603223593965,63.56731273311017,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_010.jpg,"Advanced tech for pain-free dentistry.""",Medium,facebook,0.25,False,39,ad_010.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_010.jpg,,,
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_011.jpg,"Get a smile that outshines your selfies.""",Low,Instagram,0.3612,True,41,ad_011.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_011.jpg,197.76646347736624,50.60970641327263,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_012.jpg,"Invisible braces, visible results.""",Low,facebook,0.0,False,35,ad_012.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_012.jpg,128.4619555898491,88.13694062815286,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_013.jpg,"Dental implants that feel (and look) natural.""",Low,Instagram,0.3612,False,46,ad_013.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_013.jpg,179.99292524005486,89.77914258164923,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_014.jpg,"Fight cavities before they start.""",Low,facebook,-0.3818,False,34,ad_014.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_014.jpg,131.49559945130315,45.46982733390451,0.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_015.jpg,"A smile makeover in just one session.""",Low,facebook,0.3612,False,38,ad_015.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_015.jpg,147.1936694101509,53.09624967585389,0.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_016.jpg,"Perfect teeth shouldnt be a luxury.""",high,Instagram,0.5719,False,37,ad_016.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_016.jpg,125.50905281207132,53.50320726246968,0.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_017.jpg,"Wake up with a brighter smile every day.""",Low,facebook,0.6249,False,41,ad_017.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_017.jpg,157.5142242798354,52.388861088734,0.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_018.jpg,"No drills, no fearjust flawless teeth.""",medium,Instagram,-0.4614,False,40,ad_018.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_018.jpg,121.91780109739368,53.22156327194719,0.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_019.jpg,"Your smile deserves expert hands.""",Low,facebook,0.3612,False,34,ad_019.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_019.jpg,190.43994718792868,31.493798448731628,0.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_020.jpg,"From stained to stunning in 60 minutes.""",High,facebook,0.3818,False,40,ad_020.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_020.jpg,146.72535185185183,50.48860503011477,0.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_021.jpg,"We cater to cowards (and brave souls too).""",High,facebook,0.5267,False,43,ad_021.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_021.jpg,,,
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_022.jpg,"Dental care that fits your busy life.""",High,facebook,0.4939,False,38,ad_022.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_022.jpg,,,
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_023.jpg,"Because crooked teeth shouldnt hold you back.""",High,facebook,0.0,False,47,ad_023.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_023.jpg,,,
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_024.jpg,"Whiter teeth, bolder confidence.""",High,Instagram,0.6705,False,33,ad_024.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_024.jpg,,,
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_025.jpg,"Fix gaps without the metal mouth.""",Low,Instagram,0.0,False,34,ad_025.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_025.jpg,239.61601989026065,58.24200454604004,1.0
C:\Users\johar\.jupyter\ad-creative-dss\data,ad_026.jpg,"A smile so radiant, its contagious.""",Low,Instagram,0.5896,False,37,ad_026.jpg,C:/Users/johar/.jupyter/ad-creative-dss/data/images/ad_026.jpg,220.68783333333332,55.99933152593005,1.0
